Tick,Quality,type,Task
25.0,4.209373659563254,Order349-4,Task 4
26.3,20.27346919365365,Order349-3,Task 3
27.0,5.159243767546207,Order349-6,Task 6
28.3,0.08403311479249487,Order349-9,Task 9
30.3,-0.8002924755119771,Order349-2,Task 2
33.3,5.025210201094418,Order349-1,Task 1
33.3,4.324975020101172,Order349-10,Task 10
35.3,2.0368074903789175,Order349-8,Task 8
35.3,6.483724404768903,Order349-7,Task 7
36.3,3.026127351382655,Order349-5,Task 5
54.3,2.3885364750323603,Order349-10,Task 20
56.3,24.22784734261976,Order349-3,Task 13
57.3,4.661188340886953,Order349-6,Task 16
59.3,-0.7170955959748118,Order345-4,Task 24
60.3,6.865888825929286,Order349-2,Task 12
60.3,-1.9014832362868228,Order349-9,Task 19
63.3,5.452791587644743,Order349-1,Task 11
64.3,2.726314827992985,Order349-8,Task 18
67.3,22.45557524970928,Order347-5,Task 54
67.3,4.42776880850901,Order349-7,Task 17
67.3,1.419825305531804,Order349-5,Task 15
68.3,2.0140251413803045,Order345-10,Task 30
69.3,14.521239289662077,Order345-2,Task 22
71.3,13.141368898994905,Order349-4,Task 14
78.3,2.9742281184977237,Order345-7,Task 27
78.3,1.8853159371316686,Order345-5,Task 25
79.3,2.3980114534867316,Order345-3,Task 23
80.3,1.0698127792999614,Order345-6,Task 26
81.3,4.225042103243004,Order345-1,Task 21
82.3,15.231089355763348,Order345-9,Task 29
83.3,3.2832528279420594,Order345-8,Task 28
84.3,3.798316660020888,Order350-1,Task 31
85.3,24.404044720627002,Order350-7,Task 37
87.3,12.108377204214051,Order350-9,Task 39
89.3,4.326443256441822,Order350-5,Task 35
90.3,2.87193434601158,Order350-2,Task 32
91.3,11.616005533059067,Order350-3,Task 33
92.3,0.20253023339295106,Order350-6,Task 36
94.3,5.5946873264799,Order350-8,Task 38
98.3,5.961613566082653,Order346-8,Task 47
99.3,5.019520810931725,Order346-5,Task 44
100.3,8.4831980063844,Order346-6,Task 45
101.3,2.0488607953136935,Order350-4,Task 34
104.3,4.1590144728789875,Order346-9,Task 48
106.3,9.666153836744275,Order347-10,Task 59
106.3,6.025072771885596,Order346-2,Task 41
107.3,2.2021606605546333,Order346-10,Task 49
109.3,-1.9291023159015959,Order346-7,Task 46
109.3,3.9946748992456187,Order346-1,Task 40
110.3,0.24595233149165674,Order346-4,Task 43
115.3,6.95476051249772,Order347-9,Task 58
117.0,2.859128162111447,Order350-4,Task 112
117.3,5.637698001112817,Order347-4,Task 53
117.3,22.516960627193765,Order346-3,Task 42
120.3,8.55530216801007,Order350-7,Task 66
122.3,0.26024406867694694,Order347-7,Task 56
124.3,3.9626649760275736,Order354-6,Task 123
124.3,13.625939499160133,Order347-6,Task 55
125.3,6.478004188916642,Order350-9,Task 68
127.3,4.956878865491092,Order350-8,Task 67
128.3,12.028978886819234,Order347-2,Task 51
129.3,5.489238837951245,Order350-2,Task 61
131.3,8.712352703255585,Order347-1,Task 50
132.3,7.319157553447673,Order353-6,Task 84
138.3,2.1031889804873742,Order347-8,Task 57
139.3,21.866882887837573,Order353-8,Task 96
141.3,4.552519176470604,Order350-6,Task 65
147.3,7.011364636941584,Order353-3,Task 71
148.3,12.41427204739944,Order347-3,Task 52
149.3,3.6919667461170524,Order353-4,Task 82
150.3,4.541438368347585,Order350-3,Task 62
150.3,14.201112334574686,Order350-4,Task 63
151.3,12.184048490548317,Order350-1,Task 60
152.3,6.067806698262869,Order353-9,Task 77
153.3,8.240980084628172,Order353-7,Task 85
154.3,7.228626474269273,Order350-5,Task 64
154.3,17.11399816973553,Order353-2,Task 70
156.3,20.85031229114827,Order353-8,Task 76
157.3,16.558039249345995,Order353-3,Task 91
160.3,13.495009869204432,Order353-7,Task 75
162.3,12.557593925955358,Order353-10,Task 88
166.3,5.7244962098098116,Order353-5,Task 93
167.3,4.663154604604486,Order353-6,Task 74
168.3,4.428889567464054,Order353-4,Task 72
168.3,20.739934477996012,Order348-9,Task 166
169.3,4.417102366553537,Order353-5,Task 73
170.3,4.140147599720593,Order353-9,Task 87
170.3,4.43163979434725,Order353-1,Task 89
172.3,4.8422437676131365,Order353-1,Task 69
173.3,14.226870566378475,Order353-10,Task 78
173.3,6.618088739951709,Order353-6,Task 94
175.3,16.35721812277283,Order353-3,Task 81
177.3,8.214915955633108,Order353-7,Task 95
178.3,6.155845792084679,Order353-1,Task 79
179.3,9.41008905894375,Order350-7,Task 115
179.3,12.50502627577997,Order351-10,Task 108
179.3,10.171280176849299,Order353-10,Task 98
183.3,5.331972392566412,Order353-5,Task 83
188.3,5.712574633569919,Order353-9,Task 97
192.3,5.375188074396196,Order351-2,Task 100
193.3,5.355882089518164,Order351-7,Task 105
195.3,5.081357912089031,Order353-2,Task 80
195.3,4.999824496611202,Order351-1,Task 99
195.3,5.018917072402186,Order353-2,Task 90
195.3,22.07204703275363,Order353-8,Task 86
197.3,5.383878675219785,Order353-4,Task 92
202.3,4.521427586727214,Order351-5,Task 103
203.3,3.3010065033382188,Order351-3,Task 101
203.3,14.153113873919635,Order351-8,Task 106
209.3,4.867970340069061,Order351-4,Task 102
210.3,4.102575421674507,Order351-9,Task 107
212.3,4.324790931456867,Order350-2,Task 110
216.3,0.8142622554376953,Order350-1,Task 109
218.3,5.342659765925119,Order351-6,Task 104
219.3,6.361965728536112,Order350-5,Task 113
223.3,0.24269368417188852,Order350-6,Task 114
225.3,5.652015094481526,Order350-8,Task 116
227.3,7.182174413784498,Order350-9,Task 117
228.3,2.4273540006848564,Order354-10,Task 127
229.3,4.901972390456515,Order353-1,Task 128
229.3,3.75059112139785,Order350-3,Task 111
230.3,8.63097009822825,Order353-10,Task 137
230.3,3.5029025648894243,Order354-1,Task 118
230.3,3.7594909941824173,Order345-10,Task 157
235.3,4.839917532040836,Order354-7,Task 124
235.3,9.991822479341149,Order354-5,Task 122
242.3,2.8233194324155937,Order354-3,Task 120
245.3,5.578856402958538,Order354-8,Task 125
246.3,4.889465403611998,Order354-2,Task 119
249.3,4.4083690947316985,Order354-9,Task 126
250.3,1.756834366611911,Order354-4,Task 121
251.3,5.32364164104752,Order353-2,Task 129
251.3,5.0624227214153485,Order345-4,Task 151
255.3,23.15966693387708,Order353-8,Task 135
258.3,5.24689234084774,Order353-7,Task 134
259.3,2.6609668418252346,Order353-9,Task 136
262.3,5.564139129780183,Order353-6,Task 133
264.3,22.385836405828552,Order353-3,Task 130
267.3,11.72055993774198,Order347-1,Task 138
267.3,2.1258130068707835,Order353-4,Task 131
269.3,6.450773135144117,Order347-3,Task 140
270.3,22.810253473955633,Order347-5,Task 142
274.3,15.319582487915223,Order348-2,Task 159
277.3,5.039527816844535,Order353-5,Task 132
278.3,9.845661193567501,Order347-6,Task 143
280.3,5.843079567596366,Order347-8,Task 145
286.3,-0.5149101408866521,Order347-7,Task 144
286.3,5.643921519022245,Order347-9,Task 146
287.3,4.1970699400205485,Order347-4,Task 141
292.3,4.724242939626274,Order347-2,Task 139
292.3,2.9020906123903694,Order345-7,Task 154
293.3,12.064374779544288,Order347-10,Task 147
295.3,2.958421267617552,Order345-8,Task 155
296.3,4.072717404421068,Order345-5,Task 152
298.3,7.776035514266445,Order345-2,Task 149
300.3,2.5147915137245076,Order345-3,Task 150
301.3,2.725157627531386,Order345-6,Task 153
302.3,6.870580616950097,Order345-1,Task 148
306.3,-2.6513409143872693,Order348-10,Task 167
308.3,5.458003300359133,Order348-6,Task 163
308.3,7.819374361569888,Order348-8,Task 165
309.3,2.5806164291190417,Order351-2,Task 169
309.3,3.1081275724850164,Order348-1,Task 158
309.3,11.564961496231657,Order345-9,Task 156
310.3,3.2244287907555695,Order351-8,Task 175
311.3,17.359833910037185,Order351-10,Task 177
312.3,11.825791174461457,Order351-10,Task 247
312.3,2.553200068614311,Order351-1,Task 168
314.3,8.46381886312448,Order351-4,Task 171
317.3,17.0493265761026,Order351-10,Task 187
317.3,3.9310928752211014,Order351-9,Task 176
